County,Parcel,Address,HWA,EHS,DBH,Tag,Latitude,Longitude,Notes
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,5,1561,43.053250,-86.22906,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,8,1562,43.053000,-86.22935,Multistem
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,11,1563,43.052930,-86.22929,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,8,1564,43.052930,-86.22929,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,12,1565,43.052830,-86.22919,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,15,1566,43.052780,-86.22928,Multistem
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,6,1567,43.052780,-86.2293,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,6,1568,43.052790,-86.22944,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,5,1569,43.052820,-86.22944,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,21,1570,43.052890,-86.22939,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,25,1571,43.052810,-86.22942,Multistem
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,10,1572,43.052810,-86.22952,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,15,1573,43.052760,-86.22973,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,14,1574,43.052810,-86.22991,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,9,1575,43.052810,-86.22991,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,16,1576,43.052810,-86.22991,
